country,region,subregion,pop2023,growthRate,area,landAreaKm,density,densityMi,Rank,happiness2021,happiness2020,scoreDifference,rank
Finland,Europe,Northern Europe,5545475.00,0.00085,338424,303940,182453.00,472553.00,118,7.842,7.809,0.033,1
Denmark,Europe,Northern Europe,5910913.00,0.00487,43094,40000,1477728.00,3827316.00,115,7.62,7.646,-0.026,2
Switzerland,Europe,Western Europe,8796669.00,0.00643,41284,39516,2226103.00,5765607.00,101,7.571,7.56,0.011,3
Iceland,Europe,Northern Europe,375318.00,0.00649,103000,100830,37223.00,96407.00,179,7.554,7.504,0.05,4
Netherlands,Europe,Western Europe,17618299.00,0.00309,41850,33670,523264.00,13552538.00,72,7.464,7.449,0.015,5
Norway,Europe,Northern Europe,5474360.00,0.00737,323802,364285,150277.00,389217.00,119,7.392,7.488,-0.096,6
Sweden,Europe,Northern Europe,10612086.00,0.00595,450295,407283.5,260558.00,674844.00,87,7.363,7.353,0.01,7
Luxembourg,Europe,Western Europe,654768.00,0.01107,2586,2574.5,2543282.00,6587101.00,168,7.324,7.238,0.086,8
New Zealand,Oceania,Australia and New Zealand,5228100.00,0.00826,270467,263310,198553.00,514252.00,123,7.277,7.3,-0.023,9
Austria,Europe,Western Europe,8958960.00,0.00216,83871,82520,1085671.00,2811889.00,100,7.268,7.294,-0.026,10
Australia,Oceania,Australia and New Zealand,26439111.00,0.01,7692024,7692020,34372.00,89024.00,55,7.183,7.223,-0.04,11
Israel,Asia,"Western Asia, The Middle East",9174520.00,0.01507,20770,21640,4239612.00,10980595.00,98,7.157,7.129,0.028,12
Germany,Europe,Western Europe,83294633.00,-0.0009,357114,349390,2384002.00,6174564.00,19,7.155,7.076,0.079,13
Canada,North America,Northern America,38781291.00,0.0085,9984670,8965590,43256.00,112032.00,38,7.103,7.232,-0.129,14
Ireland,Europe,Northern Europe,5056935.00,0.00673,70273,68890,734059.00,1901214.00,125,7.085,7.129,-0.044,15
Costa Rica,North America,"Central America, Latin America",5212173.00,0.00605,51100,51060,1020794.00,2643856.00,124,7.069,7.121,-0.052,16
United Kingdom,Europe,Northern Europe,67736802.00,0.00338,242900,241930,2799851.00,7251615.00,21,7.064,7.165,-0.101,17
Czech Republic,Europe,Eastern Europe,10495295.00,0.00013,78865,77198.5,1359521.00,3521158.00,89,6.965,6.911,0.054,18
United States,North America,Northern America,339996563.00,0.00505,9372610,9147420,371686.00,962666.00,3,6.951,6.94,0.011,19
Belgium,Europe,Western Europe,11686140.00,0.00259,30528,30280,3859359.00,9995741.00,82,6.834,6.864,-0.03,20
France,Europe,Western Europe,64756584.00,0.00201,551695,547557,1182646.00,3063052.00,23,6.69,6.664,0.026,21
Bahrain,Asia,"Western Asia, The Middle East",1485509.00,0.00902,765,785,18923682.00,49012335.00,154,6.647,6.227,0.42,22
Malta,Europe,Southern Europe,535064.00,0.00333,316,320,1672075.00,43306743.00,173,6.602,6.773,-0.171,23
Taiwan,Asia,Eastern Asia,23923276.00,0.00125,36193,36197,6609188.00,17117796.00,57,6.584,6.455,0.129,24
United Arab Emirates,Asia,"Western Asia, The Middle East",9516871.00,0.00802,83600,71020,1340027.00,347067.00,96,6.561,6.791,-0.23,25
Saudi Arabia,Asia,"Western Asia, The Middle East",36947025.00,0.01478,2149690,2149690,171871.00,445147.00,40,6.494,6.406,0.088,26
